baseMean	log2FoldChange	lfcSE	pvalue	padj	gene	Preferred_name	Description	PFAMs	GOs	KEGG_ko	KEGG_Pathway	COG_category	eggNOG_OGs	seed_ortholog	evalue
992.976809112604	-3.69359149825454	0.423271138347162	2.06520949991179e-19	7.43991722343221e-17	g1455	-	nucleobase-ascorbate transporter	Xan_ur_permease	GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944	ko:K14611	-	F	COG2233@1|root,KOG1292@2759|Eukaryota,37QS3@33090|Viridiplantae,3G7P2@35493|Streptophyta	3218.PP1S5_343V6.1	0
1021.23269498796	-4.07824372884432	0.564800919241094	3.42973845693938e-14	4.94225311644964e-12	g826	-	-	-	-	-	-	-	2E6DZ@1|root,2SD43@2759|Eukaryota,37XGB@33090|Viridiplantae,3GM5E@35493|Streptophyta	13333.ERN12644	0.000114
2273.62393232498	-2.77321970876457	0.380052102002496	3.13173077040164e-14	4.94225311644964e-12	g1308	-	No apical meristem (NAM) protein	NAM	-	-	-	K	COG0012@1|root,2QS0E@2759|Eukaryota,37RZS@33090|Viridiplantae,3GD22@35493|Streptophyta,3KNFV@4447|Liliopsida,3ID6P@38820|Poales	4577.GRMZM2G386163_P01	3.14e-77
324.715689408158	-4.17608805114141	0.58126811370256	5.40140505012286e-14	6.88431721798815e-12	g1426	-	Remorin-like	Remorin_C,Remorin_N	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005773,GO:0005886,GO:0005911,GO:0009506,GO:0016020,GO:0030054,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044444,GO:0044464,GO:0055044,GO:0071944	-	-	S	29TJ0@1|root,2RXGE@2759|Eukaryota,37V44@33090|Viridiplantae,3GHY9@35493|Streptophyta	3218.PP1S246_84V6.1	0.000244
332.657330791893	-6.12269705142724	0.871136057052908	1.60519344233852e-13	1.65220267886414e-11	g2292	-	WRKY Transcription Factor	WRKY	-	-	-	K	28KH1@1|root,2QSY8@2759|Eukaryota,37P2H@33090|Viridiplantae,3GDXC@35493|Streptophyta	3218.PP1S246_89V6.1	1.91e-126
373.294734996074	-3.85372846484813	0.571984613506628	1.30477123562472e-12	1.04657651650036e-10	g1306										
736.950342572034	-2.31267677817608	0.339665269672933	1.30731278952162e-12	1.04657651650036e-10	g1646	-	Myb family transcription factor	Myb_CC_LHEQLE,Myb_DNA-binding	-	-	-	K	28KG7@1|root,2QVJ9@2759|Eukaryota,37PR1@33090|Viridiplantae,3GB4D@35493|Streptophyta	3218.PP1S47_90V6.1	5.31e-97
708.549303944229	-2.98754984323386	0.44955683772592	2.91348420108335e-12	2.20964775461111e-10	g1307										
82.866521539331	-10.7355097998627	3.13322963833756	3.190235687858e-12	2.29856481310169e-10	g177	-	Legume lectin domain	Lectin_legB,Pkinase,Pkinase_Tyr	GO:0002229,GO:0002239,GO:0005575,GO:0005623,GO:0005886,GO:0006950,GO:0006952,GO:0008150,GO:0009605,GO:0009607,GO:0016020,GO:0043207,GO:0044464,GO:0050896,GO:0051704,GO:0051707,GO:0071944,GO:0098542	ko:K10859	-	T	COG0515@1|root,2QT3J@2759|Eukaryota,37PH2@33090|Viridiplantae,3G9YM@35493|Streptophyta,3KX0P@4447|Liliopsida,3I89T@38820|Poales	77586.LPERR06G09710.1	1.38e-71
1192.58073512929	-3.10765374560684	0.493102111491184	2.5578355642166e-11	1.47433641921445e-09	g153	-	deSI-like protein At4g17486	Peptidase_C97	-	-	-	S	KOG0324@1|root,KOG0324@2759|Eukaryota,37I44@33090|Viridiplantae,3GE55@35493|Streptophyta	3218.PP1S70_275V6.1	1.16e-87
671.723093271863	-4.68894209839162	0.769656167585019	6.59116410334848e-11	3.65302595112506e-09	g967	-	Domain of unknown function	Ank_2,Ank_4,PGG	-	ko:K10380	ko04624,ko05205,map04624,map05205	M	COG0666@1|root,KOG4177@2759|Eukaryota,388R0@33090|Viridiplantae,3GXDP@35493|Streptophyta	3218.PP1S432_19V6.1	1.1e-24
