baseMean	log2FoldChange	lfcSE	pvalue	padj	gene	Preferred_name	Description	PFAMs	GOs	KEGG_ko	KEGG_Pathway	COG_category	eggNOG_OGs	seed_ortholog	evalue
536.812506534102	4.92071146802583	0.519735884350786	2.03488630163687e-22	2.93227116065873e-19	g1073	-	Cell Division	AAA,CDC48_2,CDC48_N,Vps4_C	GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944	ko:K13525	ko04141,ko05134,map04141,map05134	O	COG0464@1|root,KOG0730@2759|Eukaryota,37KI9@33090|Viridiplantae,3G7QA@35493|Streptophyta,3KRJX@4447|Liliopsida,3IGKP@38820|Poales	37682.EMT31146	1.28e-214
154.995545771636	5.06824960246015	0.551047041508019	3.18001240336352e-21	2.29119893662341e-18	g1229										
260.174446628771	4.53644910204034	0.513065692396985	6.56733957682045e-20	3.15451211006609e-17	g1745										
588.428328860821	3.6216387563612	0.438408055647795	1.21100374651076e-17	3.490112797444e-15	g1835	-	-	-	-	-	-	-	2EICD@1|root,2SNTG@2759|Eukaryota,37ZVG@33090|Viridiplantae	3218.PP1S56_42V6.1	0
36665.467666386	4.17405709113637	0.530019204176671	2.87004610529218e-16	6.89289406287671e-14	g348	-	Belongs to the heat shock protein 70 family	HSP70	GO:0005575,GO:0005576,GO:0005622,GO:0005623,GO:0005737,GO:0006605,GO:0006810,GO:0006886,GO:0006950,GO:0008104,GO:0008150,GO:0009266,GO:0009408,GO:0009507,GO:0009526,GO:0009532,GO:0009536,GO:0009570,GO:0009579,GO:0009628,GO:0009941,GO:0010035,GO:0010038,GO:0015031,GO:0015833,GO:0031967,GO:0031975,GO:0033036,GO:0033365,GO:0034613,GO:0042221,GO:0042886,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044434,GO:0044435,GO:0044444,GO:0044446,GO:0044464,GO:0045036,GO:0045184,GO:0046686,GO:0046907,GO:0048046,GO:0050896,GO:0051179,GO:0051234,GO:0051641,GO:0051649,GO:0070727,GO:0071702,GO:0071705,GO:0072594,GO:0072596,GO:0072598	ko:K03283	ko03040,ko04010,ko04141,ko04144,ko04213,ko04612,ko04915,ko05134,ko05145,ko05162,ko05164,ko05169,map03040,map04010,map04141,map04144,map04213,map04612,map04915,map05134,map05145,map05162,map05164,map05169	O	COG0443@1|root,KOG0102@2759|Eukaryota,37IHK@33090|Viridiplantae,3G7BX@35493|Streptophyta	3218.PP1S115_168V6.2	0
78.8744414096456	5.63578778069547	0.733544143015127	2.26607102444656e-15	4.66486906603928e-13	g369										
7453.05142183269	3.40613636007803	0.46782139530767	3.04519526674715e-14	4.94225311644964e-12	g2025	-	Belongs to the chaperonin (HSP60) family	Cpn60_TCP1	GO:0000166,GO:0003674,GO:0003735,GO:0005198,GO:0005488,GO:0005507,GO:0005515,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005759,GO:0005773,GO:0005774,GO:0005829,GO:0005840,GO:0005844,GO:0005886,GO:0006457,GO:0006458,GO:0006605,GO:0006626,GO:0006810,GO:0006839,GO:0006886,GO:0006950,GO:0006996,GO:0007005,GO:0008104,GO:0008144,GO:0008150,GO:0009266,GO:0009408,GO:0009507,GO:0009526,GO:0009532,GO:0009536,GO:0009570,GO:0009628,GO:0009719,GO:0009725,GO:0009735,GO:0009941,GO:0009987,GO:0010033,GO:0010035,GO:0010038,GO:0015031,GO:0015833,GO:0016020,GO:0016043,GO:0017038,GO:0017076,GO:0022626,GO:0030554,GO:0031090,GO:0031967,GO:0031974,GO:0031975,GO:0032553,GO:0032555,GO:0032559,GO:0032991,GO:0033036,GO:0033365,GO:0034613,GO:0035639,GO:0036094,GO:0042221,GO:0042788,GO:0042886,GO:0043167,GO:0043168,GO:0043169,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0044183,GO:0044422,GO:0044424,GO:0044429,GO:0044434,GO:0044435,GO:0044437,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0044743,GO:0045041,GO:0045184,GO:0046686,GO:0046872,GO:0046907,GO:0046914,GO:0050896,GO:0051082,GO:0051179,GO:0051234,GO:0051641,GO:0051649,GO:0055085,GO:0061077,GO:0065002,GO:0070013,GO:0070585,GO:0070727,GO:0071702,GO:0071705,GO:0071806,GO:0071840,GO:0071944,GO:0072594,GO:0072655,GO:0097159,GO:0097367,GO:0098588,GO:0098805,GO:1901265,GO:1901363,GO:1990542,GO:1990904	ko:K04077	ko03018,ko04212,ko04940,ko05134,ko05152,map03018,map04212,map04940,map05134,map05152	O	COG0459@1|root,KOG0356@2759|Eukaryota,37HQ6@33090|Viridiplantae,3GE25@35493|Streptophyta	3218.PP1S149_289V6.1	0
96.3889552258962	5.26196373287924	0.732475304359498	5.73294979985134e-14	6.88431721798815e-12	g17	-	Methyltransferase FkbM domain	Methyltransf_21	-	-	-	S	28MUW@1|root,2QUD5@2759|Eukaryota,37NHE@33090|Viridiplantae,3GDM5@35493|Streptophyta	88036.EFJ26230	1.26e-81
1107.6512075204	3.84017563909997	0.539596654751118	8.34419713300327e-14	9.24922159127517e-12	g1653										
2916.95830164143	2.38482828110692	0.335968024321416	1.79714145424482e-13	1.72645389037786e-11	g1493	-	Vasohibin	Vasohibin	-	-	-	S	2BW4P@1|root,2QPPX@2759|Eukaryota,37W5V@33090|Viridiplantae,3GQAH@35493|Streptophyta	3218.PP1S46_67V6.1	9.34e-181
